"title","star","co-star","director","sound","note"
"casino","robertde niro","sharonstone","martinscorsese","dolby","3x4"
"citizenkane","orsonwelles","josephcotton","orsonwelles","mono","&nbsp;"
"clearand present danger","harrisonford","willemdafoe","phillipnoyce","ac-3/thx","&nbsp;"
"cliffhanger","sylvesterstallone","johnlithgow","rennyharlin","dolby","&nbsp;"
"clockers","harveykeitel","johnturturro","spikelee","dolby","&nbsp;"
"commando","arnoldschwarzenegger","raedawn chong","markl. lester","dolby","&nbsp;"
"contact","jodiefoster","matthewmcconaughey","robertzemeckis","ac-3","&nbsp;"
"copland","sylvesterstallone","harveykeitel","jamesmangold","ac-3","&nbsp;"
"copycat","sigourneyweaver","hollyhunter","jonamiel","dolby","&nbsp;"
"crimsontide","denzelwashington","genehackman","tonyscott","ac-3/thx","&nbsp;"
"danceswith wolves","kevincostner","marymcdonnell","kevincostner","dolby","3x4"
"dave","kevinkline","sigourneyweaver","ivanreitman","dolby","&nbsp;"
"deadman walking","susansarandon&nbsp;","seanpenn","timrobbins","dolby","&nbsp;"
"deadpool","clinteastwood","patriciaclarkson","buddyvan horn","dolby","&nbsp;"
"deadpresidents","larenztate","keithdavid","thehughes bros","ac-3/thx","&nbsp;"
"diehard","brucewillis","alanrickman","johnmctiernan","dolby","&nbsp;"
"diehard 2 - die harder","brucewillis","bonniebedelia","rennyharlin","dolby","&nbsp;"
"diehard with a vengeance","brucewillis","jeremyirons","johnmctiernan","ac-3/thx","&nbsp;"
"dirtyharry","clinteastwood","harryguardino","donsiegel","stereo","&nbsp;"
"donniebrasco","alpacino","johnnydepp","mikenewell","dolby","&nbsp;"
"dumband dumber","jimcarrey","jeffdaniels","peterfarrelly","dolby","&nbsp;"
"easyrider","peterfonda","dennishopper","dennishopper","stereo","&nbsp;"
"empirestrikes back","harrisonford","markhamill","irvinkershner","dolby/thx","&nbsp;"
"eraser","arnoldschwarzenegger","vanessawilliams","charlesrussell","dolby","&nbsp;"
"executivedecision","kurtrussell","halleberry","stuartbaird","ac-3","&nbsp;"
"fallen","denzelwashington","johngoodman","gregoryholbit","ac-3","&nbsp;"
"fantasia(anniversary)","m. mouse","fat hippos","jamesalgar","dolby","&nbsp;"
"farand away","tomcruise","nicolekidman","ronhoward","dolby","&nbsp;"
"fargo","francesmcdormand","williamh. macy","joelcoen","dolby","&nbsp;"
"firefox","clinteastwood","freddyjones","clinteastwood","stereo","&nbsp;"
"forbiddenplanet","walterpidgeon","annefrancis","fredmcleod wilcox","stereo","&nbsp;"
"forrestgump","tomhanks","robinwright","robertzemeckis","ac-3/thx","&nbsp;"
"getshorty","johntravolta","genehackman","barrysonnenfeld","ac-3/thx","&nbsp;"
"ghostbusters","billmurray","danaykroyd","ivanreitman","dolby","&nbsp;"
"goodfellas","robertde niro","joepesci","martinscorsese","dolby","&nbsp;"
"grandcanyon","dannyglover","kevinkline","lawrencekasdan","dolby","&nbsp;"
"grossepointe blank","johncusack","minniedriver","georgearmitage","ac-3","&nbsp;"
"hardto kill","stevenseagal","kellyle brock","brucemalmuth","dolby","&nbsp;"
"heat","alpacino","robertde nero","michaelmann","ac-3","&nbsp;"
"highsierra","humphreybogart","idalupino","raoulwalsh","mono","3x4"
"highlander","christopherlambert","seanconnery","russellmulcahy","dolby","&nbsp;"
"hotshots! part deux","charliesheen","lloydbridges","jimabrahams","dolby","&nbsp;"
"huntfor red october","alecbaldwin","seanconnery","johnmctiernan","dolby","&nbsp;"
"inthe line of fire","clinteastwood","johnmalkovich","wolfgangpetersen","dolby","&nbsp;"
"independenceday","willsmith","billpullman","rolandemmerich","ac-3/thx","&nbsp;"
"indianajones and the last crusade","harrisonford","seanconnery","stevenspielberg","dolby","&nbsp;"
"jackiebrown","pamgrier","samuell. jackson","quentintarantino","ac-3","&nbsp;"
"jaws","royscheider","richarddreyfuss","stevenspielberg","stereo","&nbsp;"
"jerrymeguire","tomcruise","cubagooding jr.&nbsp;","cameroncrowe","dolby","&nbsp;"
"jurassicpark","samneil","lauradern","stevenspielberg","dolby/thx","&nbsp;"
"justcause","seanconnery","laurencefishburne","arneglimcher","dolby","&nbsp;"
"l.a.confidential","kevinspacey","russellcrowe","curtishanson","ac-3","&nbsp;"
"lastof the mohicans","danielday lewis","madeleinestowe","michaelmann","ac-3/thx","&nbsp;"
"lawnmowerman","jefffahey","piercebrosnan","brettleonard","dolby","&nbsp;"
"legendsof the fall","bradpitt","anthonyhopkins","edwardzwick","dolby","&nbsp;"
"lethalweapon","melgibson","dannyglover","richarddonner","stereo","&nbsp;"
"lethalweapon 2","melgibson","dannyglover","richarddonner","dolby","3x4"
"lethalweapon 3","melgibson","dannyglover","richarddonner","dolby","&nbsp;"
"lonestar","kriskristofferson","matthewmcconaughey","johnsayles","dolby","&nbsp;"
"lookwho's talking","johntravolta","kirstiealley","amyheckerling","stereo","&nbsp;"
"magnumforce","clinteastwood","halholbrook","tedpost","stereo","&nbsp;"
"malice","alecbaldwin","nicolekidman","haroldbecker","dolby","&nbsp;"
"memphisbelle","matthewmodine","ericstoltz","michaelcaton-jones","dolby","&nbsp;"
"menin black","tommylee jones","willsmith","barrysonnenfeld","ac-3/thx","&nbsp;"
"miller'scrossing","gabrielbyrne","albertfinney","joelcoen","dolby","&nbsp;"
"murderat 1600","wesleysnipes","dianelane&nbsp;","dwightlittle","ac-3","&nbsp;"
"narrowmargin","genehackman","annearcher","peterhyams","dolby","&nbsp;"
"nickof time","johnnydepp","christopherwalkin","johnbadham","ac-3","&nbsp;"
"noway out","kevincostner","genehackman","rogerdonaldson","dolby","&nbsp;"
"nuttyprofessor","eddiemurphy","jadapinkett","tomshadyac","dolby","&nbsp;"
"ondeadly ground","stevenseagal","michaelcaine","stevenseagal","dolby","&nbsp;"
"outof africa","robertredford","merylstreep","sydneypollack","stereo","&nbsp;"
"outbreak","dustinhoffman","renerusso","wolfgangpeterson","ac-3","&nbsp;"
"passageto marseille","humphreybogart","clauderains","michaelcurtiz","mono","&nbsp;"
"patriotgames","harrisonford","annearcher","phillipnoyce","dolby","3x4"
"pelicanbrief","juliaroberts","denzelwashington","alanj. pakula","dolby","&nbsp;"
"predator","arnoldschwarzenegger","carlweathers","johnmctiernan","stereo","&nbsp;"
"predator2","dannyglover","garybusey","stephenhopkins","dolby","3x4"
"pulpfiction","johntravolta","samuell. jackson","quentintarantino","dolby/thx","&nbsp;"
"raidersof the lost ark","harrisonford","karenallen","stevenspielberg","stereo","&nbsp;"
"ransom","melgibson","renerusso","ronhoward","ac-3/thx","&nbsp;"
"redheat","arnoldschwarzenegger","jamesbelushi","walterhill","dolby","&nbsp;"
"reservoirdogs","harveykeitel","timroth","quentintarantino","dolby","&nbsp;"
"returnof the jedi","harrisonford","markhamill","richardmarquand","dolby/thx","&nbsp;"
"robinhood","kevincostner","morganfreeman","kevinreynolds","dolby","&nbsp;"
"romeo&amp; juliet","oliviahussey","leonardwhiting","francozeffirelli","mono","3x4"
"savingprivate ryan","tomhanks","edwardburns","stevenspielberg","ac-3/thx","&nbsp;"
"scentof a woman","alpacino","chriso'donnell","martinbrest","dolby","&nbsp;"
"se7en","bradpitt","morganfreemen","davidfincher","ac-3","&nbsp;"
"senseand sensibility","emmathompson","alanrickman","anglee","dolby","&nbsp;"
"shawshankredemption","timrobbins","morganfreeman","frankdarabont","dolby","&nbsp;"
"silenceof the lambs","jodiefoster","anthonyhopkins","johnathandemme","dolby","&nbsp;"
"sleepers","kevinbacon","robertde niro","barry levinson","ac-3","&nbsp;"
"somethingabout mary","camerondiaz","mattdillon","peter &amp; bobbyfarrelly","ac-3","&nbsp;"
"species","marghelgenberger","benkingsley","roger donaldson","ac-3/thx","&nbsp;"
"speed","keanureeves","sandrabullock","graham yost","dolby/thx","&nbsp;"
"starwars","harrisonford","markhamill","georgelucas","dolby/thx","&nbsp;"
"stargate","kurtrussell","jamesspader","roland emmerich","ac-3/thx","&nbsp;"
"strikingdistance","brucewillis","sarahjessica parker","rowdy herrington","dolby","&nbsp;"
"suddenimpact","clinteastwood","sondralocke","clinteastwood","stereo","&nbsp;"
"t2- director's cut","arnoldschwarzenegger","lindahamilton","jamescameron","dolby/thx","&nbsp;"
"terminator","arnoldschwarzenegger","lindahamilton","jamescameron","mono","&nbsp;"
"theabyss - director's cut","edharris","maryelizabeth mastrantonio","jamescameron","dolby/thx","&nbsp;"
"thearrival","charliesheen","lindsaycrouse","david twohy","ac-3","&nbsp;"
"thebabe","johngoodman","kellymcgillis","arthur hiller","dolby","&nbsp;"
"thebig lebowski","jeffbridges","johngoodman","joelcoen","ac-3","3x4"
"thebirdcage","robinwilliams","nathanlane&nbsp;","mike nichols&nbsp;","ac-3","&nbsp;"
"thebodyguard","kevincostner","whitneyhouston","mick jackson","dolby","&nbsp;"
"theclient","susansarandon","tommylee jones","joel schumacher","dolby","&nbsp;"
"thedoors","valkilmer","megryan","oliver stone","dolby","&nbsp;"
"theenforcer","clinteastwood","harryguardino","james fargo","stereo","&nbsp;"
"thefirm","tomcruise","jeannetripplehorn","sydney pollack","dolby","&nbsp;"
"thefly","jeffgoldblum","geenadavis","david cronenberg","stereo","&nbsp;"
"thefreshman","marlinbrando","matthewbroderick","andrew bergman","dolby","3x4"
"thefugitive","harrisonford","tommylee jones","andrew davis","dolby","&nbsp;"
"thegodfather","marlinbrando","alpacino","francisford coppola","ac-3/thx","&nbsp;"
"thegodfather part ii","alpacino","robertduvall","francisford coppola","ac-3/thx","&nbsp;"
"theice storm","kevinkline","sigourneyweaver","ang lee","dolby","3x4"
"thelegend continues","michael jackson","other jacksons&nbsp;","motown productions","stereo","&nbsp;"
"thepetrified forest","humphreybogart","lesliehoward","archie mayo","mono","3x4"
"theprincess bride","caryelwes","mandypatinkin","robreiner","dolby","&nbsp;"
"theprofessional","jeanreno","garyoldman","luc besson","dolby","&nbsp;"
"theref","denisleary","judydavis","ted demme","dolby","&nbsp;"
"therock","seanconnery","nicolascage","michael bay","ac-3/thx","&nbsp;"
"the three stooges","larry moe curley","shemp","&nbsp;","mono","3x4"
"titanic","leonardodicaprio","katewinslet","jamescameron","ac-3/thx","&nbsp;"
"topgun","tomcruise","kellymcgillis","tony scott","ac-3/thx","&nbsp;"
"totalrecall","arnoldschwarzenegger","rachelticotin","paul verhoeven","dolby","&nbsp;"
"trainspotting","ewanmcgregor","ewenbremner","danny boyle","ac-3","&nbsp;"
"truelies","arnoldschwarzenegger","jamielee curtis","jamescameron","ac-3/thx","&nbsp;"
"twister","helenhunt","billpaxton","jan de bont","ac-3/thx","&nbsp;"
"undersiege","stevenseagal","tommylee jones","andrew davis","dolby","&nbsp;"
"undersiege 2","stevenseagal","ericbogosian","geoff murphy","dolby","&nbsp;"
"unforgiven","clinteastwood","genehackman","clinteastwood","dolby","&nbsp;"
"usualsuspects","kevinspacey","stephenbaldwin","bryan singer","dolby","&nbsp;"
"videoessentials","demo/calibration","&nbsp;","joe kane","ac-3/thx","&nbsp;"
"warof the worlds","genebarry","annrobinson","byron haskin","stereo","&nbsp;"
"whileyou were sleeping","sandrabullock","billpullman","john turteltaub","dolby/thx","&nbsp;"
"whitenights","mikhailbarishnikov","gregoryhines","trevor hackford","dolby","&nbsp;"
"wolf","jacknicholson","michellepfeiffer","mike nichols","dolby","&nbsp;"
"wow!","demo/calibration&nbsp;","&nbsp;","georgelucas","dolby/thx","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"for sale (cheap!!!)","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;bugsbunny superstar","bugs bunny","elmer fudd","chuck jones","mono","3x4"
"cyborg","jean-claudevan damme","deborahrichter","albert pyun","stereo","3x4"
"darkman","liamneeson","larrydrake","sam raimi","dolby","&nbsp;"
"tequilasunrise","melgibson","michellepfeiffer","robert towne","dolby","3x4"
"theabyss","edharris","maryelizabeth mastrantonio","jamescameron","dolby","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
